Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
marker io,1,1,390,38,7.94,https://marker.io/,312,11.94,2477.00,0.42,123,"[23,36,36,36,100,67,44,36,44,19,15,23]",2026-03-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
marker.io,1,1,480,19,7.94,https://marker.io/,119,4.55,944.00,0.42,0,"[1,1,3,0,1,100,0,65,0,4,5,5]",2026-03-10,"Video, Ads top, Video Carousel","navigational, transactional",Organic
marker,6,6,27100,70,0.32,https://marker.io/,108,4.13,34.00,0.94,723000000,"[44,44,36,36,36,44,36,36,44,44,100,54]",2026-04-15,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches, Things to know, AI overview","commercial, informational",Organic
markerio,1,1,90,46,7.94,https://marker.io/,72,2.75,571.00,0.42,44900,"[7,7,19,100,53,53,7,42,19,19,53,19]",2026-03-29,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
user acceptance testing software,1,1,720,26,5.67,https://marker.io/blog/user-acceptance-testing-tools,59,2.25,334.00,0.04,0,"[8,100,52,16,13,4,20,5,3,4,3,3]",2026-03-13,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
bug report,1,1,720,33,8.88,https://marker.io/blog/bug-report-template,59,2.25,523.00,0.12,131,"[45,55,67,55,76,55,45,67,67,55,30,55]",2026-04-02,"Image pack, Video, Related searches, AI overview",informational,Image pack
web development project plan template,1,1,170,26,6.44,https://marker.io/blog/website-project-plan-template,42,1.6,270.00,0.06,247000000,"[12,15,29,12,12,7,10,5,100,12,5,12]",2026-04-01,"Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
website project plan template,1,1,170,31,0.00,https://marker.io/blog/website-project-plan-template,42,1.6,0.00,0.06,0,"[34,53,53,43,34,34,100,100,65,43,9,28]",2026-03-07,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
marker.io,3,3,480,19,7.94,https://marker.io/pricing,39,1.49,309.00,0.42,0,"[1,1,3,0,1,100,0,65,0,4,5,5]",2026-03-10,"Video, Ads top, Video Carousel","navigational, transactional",Organic
website redesign project plan template,1,1,140,22,9.05,https://marker.io/blog/website-project-plan-template,34,1.3,307.00,0.07,9050000,"[34,42,42,42,42,11,80,80,65,80,100,65]",2026-04-13,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
